ds,y,yhat,yhat_lower,yhat_upper,error,uncertainty,anomaly
2015-12-08,3002.0,3833.502274401691,3233.3465911499507,4431.0696715236045,-831.502274401691,1197.7230803736538,No
2015-12-09,4208.0,3661.900639266798,3045.519809866122,4214.914514656847,546.099360733202,1169.394704790725,No
2015-12-10,4091.0,3636.836871290213,3030.430940922263,4235.96272075075,454.1631287097871,1205.5317798284873,No
2015-12-11,3452.0,3220.204303783836,2612.6027921231034,3805.0220874961815,231.79569621616383,1192.419295373078,No
2015-12-12,1409.0,1984.6881177468497,1378.658490320828,2537.18758876663,-575.6881177468497,1158.5290984458022,No
2015-12-13,1202.0,1986.4313272053648,1387.0587068297048,2548.1384213233214,-784.4313272053648,1161.0797144936166,No
2015-12-14,3761.0,3467.8555500735474,2860.240110964036,4051.723021439692,293.1444499264526,1191.482910475656,No
2015-12-15,3722.0,3891.996809770792,3264.4825781698423,4453.893842256086,-169.99680977079197,1189.4112640862436,No
2015-12-16,3771.0,3916.843847456725,3300.069494765043,4473.040024764969,-145.84384745672514,1172.9705299999255,No
2015-12-17,3910.0,3816.889749784263,3230.363700670291,4463.34548112619,93.11025021573687,1232.9817804558988,No
2015-12-18,3343.0,3186.9920967177604,2602.962375008828,3808.788098577868,156.00790328223957,1205.8257235690398,No
2015-12-19,1653.0,1737.3453169551024,1087.610762333901,2260.906021991748,-84.34531695510236,1173.2952596578468,No
2015-12-20,1333.0,1599.4488999344037,1010.6812066960708,2216.882252370666,-266.4488999344037,1206.201045674595,No
2015-12-21,2615.0,2840.30585934551,2272.4661223691164,3442.305219148605,-225.30585934550982,1169.8390967794885,No
2015-12-22,2350.0,2997.082389043584,2383.2482999553927,3562.241350948214,-647.082389043584,1178.9930509928213,No
2015-12-23,1896.0,2586.748388157608,1965.8133363421016,3211.9026658575176,-690.7483881576081,1246.089329515416,No
2015-12-24,898.0,2451.079097306811,1852.508904075744,3047.50477409667,-1553.079097306811,1194.995870020926,No
2015-12-25,2374.0,2040.6281125898488,1455.6353101233194,2640.572356676707,333.3718874101512,1184.9370465533875,No
2015-12-26,925.0,461.18917114017415,-155.52894334504904,1098.9692125517258,463.81082885982585,1254.498155896775,No
2015-12-27,894.0,394.94701339400416,-213.9391563221681,932.7661556495832,499.05298660599584,1146.7053119717514,No
2015-12-28,1529.0,1348.0478750054456,745.082976346666,1920.025063158944,180.95212499455442,1174.942086812278,No
2015-12-29,1409.0,2098.015203227473,1477.874353372445,2635.2426586326665,-689.0152032274732,1157.3683052602214,No
2015-12-30,1114.0,2183.897944188828,1603.4887087386414,2756.8257359074714,-1069.8979441888282,1153.33702716883,No
2015-12-31,1496.0,2158.942921732004,1613.396690202631,2752.807843126247,-662.9429217320039,1139.411152923616,No
2016-01-01,949.0,848.932127756862,221.5438213953804,1452.1747378552254,100.06787224313803,1230.6309164598451,No
2016-01-02,810.0,618.2952767871956,-1.982550898183513,1189.0317514279247,191.70472321280442,1191.0143023261082,No
